"longitude","latitude","time","value"
172.375,-43.625,12784,0.0511437356472015
-71.125,-43.375,12784,0.138384759426117
-68.875,-43.375,12784,0.00569189805537462
-68.625,-43.375,12784,0.267720729112625
-68.375,-43.375,12784,0.486715883016586
-68.125,-43.375,12784,0.184826359152794
-67.875,-43.375,12784,0.498868107795715
-67.625,-43.375,12784,1.02715289592743
-67.375,-43.375,12784,1.69385206699371
-67.125,-43.375,12784,1.91158020496368
-66.875,-43.375,12784,1.91234958171844
-66.625,-43.375,12784,2.06505036354065
-66.375,-43.375,12784,1.61033189296722
-66.125,-43.375,12784,0.159185886383057
-65.375,-43.375,12784,0.144278034567833
-65.125,-43.375,12784,3.31924033164978
170.625,-43.375,12784,0.805034875869751
170.875,-43.375,12784,9.85128498077393
171.125,-43.375,12784,8.5062370300293
171.375,-43.375,12784,5.02426099777222
171.625,-43.375,12784,4.02940464019775
171.875,-43.375,12784,3.8908953666687
172.125,-43.375,12784,1.51053905487061
-69.625,-43.125,12784,0.0085960291326046
-69.375,-43.125,12784,0.0702639073133469
-69.125,-43.125,12784,0.0526429377496243
-68.875,-43.125,12784,0.32992821931839
-68.625,-43.125,12784,0.404599875211716
-68.375,-43.125,12784,0.430106669664383
-68.125,-43.125,12784,1.04156351089478
-67.875,-43.125,12784,1.63386714458466
-67.625,-43.125,12784,1.09243142604828
-67.375,-43.125,12784,0.97609931230545
-67.125,-43.125,12784,1.252565741539
-66.875,-43.125,12784,1.3810693025589
-66.625,-43.125,12784,0.608114778995514
-66.375,-43.125,12784,0.672575533390045
-66.125,-43.125,12784,0.815283000469208
-65.625,-43.125,12784,0.184474796056747
-65.375,-43.125,12784,0.218513786792755
-65.125,-43.125,12784,3.12400460243225
-64.875,-43.125,12784,6.80305480957031
-64.625,-43.125,12784,8.90275573730469
-64.375,-43.125,12784,9.80510997772217
170.875,-43.125,12784,6.63923072814941
171.125,-43.125,12784,24.2140083312988
171.375,-43.125,12784,11.8437099456787
171.625,-43.125,12784,7.95651960372925
171.875,-43.125,12784,5.65175771713257
-69.375,-42.875,12784,0.0877363905310631
-69.125,-42.875,12784,0.0450609363615513
-68.875,-42.875,12784,0.42456990480423
-68.625,-42.875,12784,0.173792213201523
-68.375,-42.875,12784,0.210156291723251
-68.125,-42.875,12784,0.292866587638855
-67.875,-42.875,12784,0.798269629478455
-67.625,-42.875,12784,0.372902184724808
-67.375,-42.875,12784,0.713460683822632
-66.625,-42.875,12784,1.01121771335602
-66.375,-42.875,12784,1.76797151565552
-66.125,-42.875,12784,1.70472657680511
-65.875,-42.875,12784,2.46732378005981
-65.625,-42.875,12784,0.231907725334167
-65.375,-42.875,12784,0.578612983226776
-65.125,-42.875,12784,1.46228396892548
-64.875,-42.875,12784,5.01781272888184
-64.625,-42.875,12784,3.60252285003662
-64.375,-42.875,12784,7.38102722167969
170.875,-42.875,12784,1.67643177509308
171.125,-42.875,12784,24.6111469268799
171.375,-42.875,12784,19.002405166626
171.625,-42.875,12784,13.8474349975586
171.875,-42.875,12784,1.41198551654816
-69.875,-42.625,12784,0.10788781195879
-68.875,-42.625,12784,0.212423548102379
-68.625,-42.625,12784,0.370478063821793
-68.375,-42.625,12784,0.340917438268661
-68.125,-42.625,12784,0.197280198335648
-67.875,-42.625,12784,0.911784410476685
-67.625,-42.625,12784,0.221058011054993
-67.375,-42.625,12784,0.319606155157089
-67.125,-42.625,12784,0.102186873555183
-66.875,-42.625,12784,2.49675297737122
-66.625,-42.625,12784,3.75859522819519
-66.375,-42.625,12784,1.81684720516205
